Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Interspecific and intergeneric hybrids in herbage grasses","Journal of Genetics","","37","2","10.1007/BF02982729","T. J. Jenkin D. Sc.P. T. Thomas Ph.D.","1939","http://link.springer.com/article/10.1007/BF02982729","Article"
"An hypothesis of freese and the DNA-protein coding problem","The bulletin of mathematical biophysics","","23","3","10.1007/BF02476743","Robert Rosen","1961","http://link.springer.com/article/10.1007/BF02476743","Article"
"Gas liquid chromatography of the hydroxy-, acetoxy-and oxo-stearic acid methyl esters","Journal of the American Oil Chemists' Society","","41","12","10.1007/BF02663968","A. P. Tulloch","1964","http://link.springer.com/article/10.1007/BF02663968","Article"
"Impact-parameter description of relativistic scattering","Il Nuovo Cimento A (1965-1970)","","46","2","10.1007/BF02739097","R. Henzi","1966","http://link.springer.com/article/10.1007/BF02739097","Article"
"Bending of plates with circular holes","Acta Mechanica","","4","1","10.1007/BF01291088","Dr. C. C. LoProf. Dr. A. W. Leissa","1967","http://link.springer.com/article/10.1007/BF01291088","Article"
"Acoustic confusability values for 1172 CCC trigrams","Psychonomic Science","","14","4","10.3758/BF03332782","Denise ScottA. D. Baddeley","1969","http://link.springer.com/article/10.3758/BF03332782","Article"
"Further exact results in two-dimensional spinor electrodynamics with nonvanishing fermion mass","Il Nuovo Cimento A (1965-1970)","","64","2","10.1007/BF02754902","P. L. F. Haberler","1969","http://link.springer.com/article/10.1007/BF02754902","Article"
"Heat transfer to superheated steam flowing in tubes and annular channels","Wärme - und Stoffübertragung","","3","3","10.1007/BF01006693","Dr. sc. techn. A. Kütükçüoğlu","1970","http://link.springer.com/article/10.1007/BF01006693","Article"
"Dynamics of the appearance of abutment pressure in relation to the direction of mining operations","Soviet Mining","","8","1","10.1007/BF02497800","É. F. Mel'nikovA. A. Manko","1972","http://link.springer.com/article/10.1007/BF02497800","Article"
"Principles and practice of foliar analysis as a basis for crop-logging in pine plantations","Plant and Soil","","37","1","10.1007/BF01578488","D. I. BevegeB. N. Richards","1972","http://link.springer.com/article/10.1007/BF01578488","Article"
"Cyprus: seismic studies at sea","Nature","","248","5451","10.1038/248745a0","J. M. LORTF. GRAY","1974","http://link.springer.com/article/10.1038/248745a0","Article"
"Seismic source in East Kazakhstan","Nature","","248","5451","10.1038/248743a0","A. DOUGLASP. D. MARSHALLJ. B. YOUNGJ. A. HUDSON","1974","http://link.springer.com/article/10.1038/248743a0","Article"
"Subvarieties of moduli spaces","Inventiones mathematicae","","24","2","10.1007/BF01404301","Frans Oort","1974","http://link.springer.com/article/10.1007/BF01404301","Article"
"Positive contractions ofL
1-spaces","Mathematische Zeitschrift","","143","1","10.1007/BF01173047","Professor Mustafa A. Akcoglu","1975","http://link.springer.com/article/10.1007/BF01173047","Article"
"Classical dynamics for charged particles","Il Nuovo Cimento B (1971-1996)","","28","1","10.1007/BF02722817","G. H. Goedecke","1975","http://link.springer.com/article/10.1007/BF02722817","Article"
"Statics for the antisymmetric tensor potential due to closed strings","Il Nuovo Cimento A (1971-1996)","","29","3","10.1007/BF02735710","M. Kalb","1975","http://link.springer.com/article/10.1007/BF02735710","Article"
"Viscoelastic micropolar continuum and viscoelastic waves","Czechoslovak Journal of Physics B","","26","3","10.1007/BF01594264","F. Vodák","1976","http://link.springer.com/article/10.1007/BF01594264","Article"
