Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Ergonomics in warehouse design and operations: a systematic literature review","Operational Research","","25","1","10.1007/s12351-024-00892-z","Danish NasirRakesh VenkitasubramonySuresh Kumar Jakhar","2024","http://link.springer.com/article/10.1007/s12351-024-00892-z","Article"
"Performance Metrics of Unmanned Aerial Vehicles from the Perspective of ISR Applications","Transactions of the Indian National Academy of Engineering","","","","10.1007/s41403-024-00508-0","Vadivelan AlagurajanS RajagopalVinayak Narayan Kulkarni","2024","http://link.springer.com/article/10.1007/s41403-024-00508-0","Article"
"Investigating risk elements and critical success factors for AI procurement projects in the public sector: a qualitative approach based on UAE public organisations","International Journal of System Assurance Engineering and Management","","","","10.1007/s13198-024-02653-9","Khalid AlshehhiAli CheaitouHamad Rashid","2024","http://link.springer.com/article/10.1007/s13198-024-02653-9","Article"
"Reconfigurable and Resilient Closed-Loop Supply Chain Design: A Simulation–Optimization Approach","Global Journal of Flexible Systems Management","","","","10.1007/s40171-024-00427-7","Hadi GholizadehAmirabbas PashaTaha-Hossein HejaziHamed Jahani","2024","http://link.springer.com/article/10.1007/s40171-024-00427-7","Article"
"Selection of Best Suitable Titanium Alloy for Biomedical Applications Using Analytical Hierarchical Process","Transactions of the Indian National Academy of Engineering","","","","10.1007/s41403-024-00509-z","Tapas BeraIndranil MannaJyotsna Dutta Majumdar","2024","http://link.springer.com/article/10.1007/s41403-024-00509-z","Article"
"A resilient and sustainable supply chain network design: a case study in beverage industry","Environment, Development and Sustainability","","","","10.1007/s10668-024-05783-z","Sina ParhazehSeyed Ahmad TorabzadehMasoud RabbaniAmir Aghsami","2024","http://link.springer.com/article/10.1007/s10668-024-05783-z","Article"
"The role of Lean for reconciling performance paradoxes in operations and supply chains management","Operations Management Research","","","","10.1007/s12063-024-00531-y","Diego A. de J. PachecoJosé Antonio Valle Antunes JrIsaac PergherMihai Vrîncuț","2024","http://link.springer.com/article/10.1007/s12063-024-00531-y","Article"
"New product development based on non-functional requirements in renewable energy industries using hesitant fuzzy QFD-DFX approach","Requirements Engineering","","29","4","10.1007/s00766-024-00429-y","Marziyeh KashaniAtefeh AmindoustMahdi KarbasianAbbas Sheikh Aboumasoudi","2024","http://link.springer.com/article/10.1007/s00766-024-00429-y","Article"
"From Concept to Market: Integrating Customer Needs in Product Development","Journal of The Institution of Engineers (India): Series C","","105","6","10.1007/s40032-024-01127-y","Soumyajit DasBivash MallickSourav Das","2024","http://link.springer.com/article/10.1007/s40032-024-01127-y","Article"
"Climate and Land Use Change Impacts on Groundwater Recharge in Prachinburi–Sakaeo Groundwater Basin by Integrating the CA–Markov Model with the WetSpass Model","Earth Systems and Environment","","8","4","10.1007/s41748-024-00436-7","Katawut WaiyasusriRamita VangpaisalSrilert Chotpantarat","2024","http://link.springer.com/article/10.1007/s41748-024-00436-7","Article"
"New approach for performance score analysis of m-polar Fuzzy ELECTRE-I method","OPSEARCH","","61","4","10.1007/s12597-024-00775-z","Madan JagtapPrasad Karande","2024","http://link.springer.com/article/10.1007/s12597-024-00775-z","Article"
"Computer big data technology in additive manufacturing and product design in sustainable manufacturing","The International Journal of Advanced Manufacturing Technology","","135","9 - 10","10.1007/s00170-024-14788-x","Caichang DingChao LiZenggang XiongZhimin Li","2024","http://link.springer.com/article/10.1007/s00170-024-14788-x","Article"
"Introducing an integrated method for assessing supply chain sustainability based on HF-ARAS and IT2F-BWM","OPSEARCH","","61","4","10.1007/s12597-023-00725-1","Mina Alvandi GhiasvandMehran khalajAmir Hossein Kamali Dolatabadi","2024","http://link.springer.com/article/10.1007/s12597-023-00725-1","Article"
"A spherical Z-number multi-attribute group decision making model based on the prospect theory and GLDS method","Complex & Intelligent Systems","","10","6","10.1007/s40747-024-01552-7","Meiqin WuSining MaJianping Fan","2024","http://link.springer.com/article/10.1007/s40747-024-01552-7","Article"
"Design Thinking and teamwork—measuring impact: a systematic literature review","Journal of Organization Design","","13","4","10.1007/s41469-024-00177-x","Cornelia Kerstin Schlott","2024","http://link.springer.com/article/10.1007/s41469-024-00177-x","Article"
"Comparative study of the QoS criteria weighting methods and their effects on ranking of web services","Service Oriented Computing and Applications","","","","10.1007/s11761-024-00433-8","Shadab KhanLalit Purohit","2024","http://link.springer.com/article/10.1007/s11761-024-00433-8","Article"
"Strategic Decision-Making Enhancement through Graph-Optimized DEMATEL-AHP with Pruning","Group Decision and Negotiation","","","","10.1007/s10726-024-09908-7","Yuqian ShiSheng YuJie Mei","2024","http://link.springer.com/article/10.1007/s10726-024-09908-7","Article"
"Machine learning and analytic hierarchy process integration for selecting a sustainable tractor","Scientific Reports","","14","1","10.1038/s41598-024-78023-z","Hassan A. A. SayedMahmoud A. AbdelhamidTarek Kh. AbdelkaderQinghui LaiAhmed M. MousaMohamed Refai","2024","http://link.springer.com/article/10.1038/s41598-024-78023-z","Article"
"Classifying DSS Research – A Theoretical Framework","Information Systems Frontiers","","","","10.1007/s10796-024-10553-3","Rahul KumarRahul Thakurta","2024","http://link.springer.com/article/10.1007/s10796-024-10553-3","Article"
"Requirement-driven supplier selection: a multi-criteria QFD-based approach under epistemic and stochastic uncertainties","Annals of Operations Research","","342","2","10.1007/s10479-024-06131-0","Jian-Peng ChangHeng-Xin RenLuis MartínezWitold PedryczZhen-Song Chen","2024","http://link.springer.com/article/10.1007/s10479-024-06131-0","Article"
